
408d4a6b-7f70-4479-8669-66f6e79fb4a8,partner_spark_v1__bc65f19d-0a70-4b46-b712-2a2c6ebda53f,partner_spark_v1,rpbxqlkhsn003.webex.com,null,bc65f19d-0a70-4b46-b712-2a2c6ebda53f
1f8b3925-5fc7-4540-942a-e9c32e4598b5,partner_spark_v1__shivatest,partner_spark_v1,rpbxqlkhsn008.webex.com,null,shivatest
partner_spark_6e827ded-20dc-49e0-a0c3-da075da790fc_sjc,partner_spark_v1__6e827ded-20dc-49e0-a0c3-da075da790fc,partner_spark_v1,rpbtqlkhsn011.webex.com,null,6e827ded-20dc-49e0-a0c3-da075da790fc
f4537520-e636-4f76-9c05-3df7f31f54da,partner_spark_v1__2b89525d-d39b-4b8b-8814-2b235d777a10,partner_spark_v1,rpbxqlkhsn008.webex.com,null,2b89525d-d39b-4b8b-8814-2b235d777a10
d3e770a6-026f-4308-841b-59b85b7aa039,partner_spark_v1__21cf6a5e-a63d-485f-8d62-b1d9e6f253c4,partner_spark_v1,rpbxqlkhsn006.webex.com,null,21cf6a5e-a63d-485f-8d62-b1d9e6f253c4
premium_spark_6dbd5329-058e-4711-b13d-6e76d8a9fa37_sjc,premium_spark_v1__6dbd5329-058e-4711-b13d-6e76d8a9fa37,premium_spark_v1,rpbtqlkhsn010.webex.com,null,6dbd5329-058e-4711-b13d-6e76d8a9fa37
go.webex.com,premium_webex_v1__12345701,premium_webex_v1,rpbtqlkhsn011.webex.com,null,1eb65fdf-9643-417f-9974-ad72cae0e10f
partner_spark_be155b09-43d7-4cd0-aca8-2c44ebbdb4bf_sjc,partner_spark_v1__be155b09-43d7-4cd0-aca8-2c44ebbdb4bf,partner_spark_v1,rpbtqlkhsn008.webex.com,null,be155b09-43d7-4cd0-aca8-2c44ebbdb4bf
premium_spark_6b246b5b-9f1c-4525-bb51-a67d3e8338ba_sjc,premium_spark_v1__6b246b5b-9f1c-4525-bb51-a67d3e8338ba,premium_spark_v1,rpbtqlkhsn008.webex.com,null,cb7dbab2-8dcb-454f-9002-9774dd28ed35
premium_spark_0d882151-70b4-4264-a09c-4a599e4494b1_sjc,premium_spark_v1__0d882151-70b4-4264-a09c-4a599e4494b1,premium_spark_v1,rpbtqlkhsn008.webex.com,null,0d882151-70b4-4264-a09c-4a599e4494b1
partner_webex_v1__bc65f19d-0a70-4b46-b712-2a2c6ebda53f_sjc1,partner_webex_v1__bc65f19d-0a70-4b46-b712-2a2c6ebda53f,partner_webex_v1,rpbtqlkhsn008.webex.com,null,bc65f19d-0a70-4b46-b712-2a2c6ebda53f
testpersis,partner_spark_v1__testpersis,partner_spark_v1,rpbtqlkhsn011.webex.com,null,testpersis
premium_spark_6bcdfb1a-3fb4-4b88-b4b6-9792bdc17ed8_sjc,premium_spark_v1__6bcdfb1a-3fb4-4b88-b4b6-9792bdc17ed8,premium_spark_v1,rpbtqlkhsn008.webex.com,null,6bcdfb1a-3fb4-4b88-b4b6-9792bdc17ed8
go.webex.com_dfw,premium_webex_v1__12345701,premium_webex_v1,rpbxqlkhsn004.webex.com,null,1eb65fdf-9643-417f-9974-ad72cae0e10f
partner_spark_dfb39af8-01c5-404e-8559-fa314f6be5cc_sjc,partner_spark_v1__dfb39af8-01c5-404e-8559-fa314f6be5cc,partner_spark_v1,rpbtqlkhsn010.webex.com,null,dfb39af8-01c5-404e-8559-fa314f6be5cc
test123,basic_spark_v1__testabc,basic_spark_v1,rpbtqlkhsn011.webex.com,null,test123
premium_spark_9fb668e1-d6e1-441f-a6f8-b968227ca3d8_sjc,premium_spark_v1__9fb668e1-d6e1-441f-a6f8-b968227ca3d8,premium_spark_v1,rpbtqlkhsn009.webex.com,null,9fb668e1-d6e1-441f-a6f8-b968227ca3d8
premium_spark_2b89525d-d39b-4b8b-8814-2b235d777a10_sjc,premium_spark_v1__2b89525d-d39b-4b8b-8814-2b235d777a10,premium_spark_v1,rpbtqlkhsn009.webex.com,null,2b89525d-d39b-4b8b-8814-2b235d777a10
724dda6c-0927-4d42-b694-61932df16103,partner_spark_v1__shivatest,partner_spark_v1,rpbtqlkhsn009.webex.com,null,shivatest
premium_spark_7dc5701d-5383-4c06-b151-5127f050f799_sjc,premium_spark_v1__7dc5701d-5383-4c06-b151-5127f050f799,premium_spark_v1,rpbtqlkhsn009.webex.com,null,7dc5701d-5383-4c06-b151-5127f050f799
betatrain.webex.com,premium_webex_v1__12360162,premium_webex_v1,rpbtqlkhsn011.webex.com,null,acb14e01-d869-47e4-a595-e67453279b08
betatrain.webex.com_dfw,premium_webex_v1__12360162,premium_webex_v1,rpbxqlkhsn004.webex.com,null,acb14e01-d869-47e4-a595-e67453279b08
cc38bae4-f1c4-4eca-80fe-519c5c7c3166,partner_spark_v1__ce8d17f8-1734-4a54-8510-fae65acc505e,partner_spark_v1,rpbxqlkhsn008.webex.com,null,ce8d17f8-1734-4a54-8510-fae65acc505e
premium_spark_08e12813-9e71-48f5-a019-dbbcc1ed4a54_sjc,premium_spark_v1__08e12813-9e71-48f5-a019-dbbcc1ed4a54,premium_spark_v1,rpbtqlkhsn010.webex.com,null,08e12813-9e71-48f5-a019-dbbcc1ed4a54
